2020-09-09 11:14:00.111 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-09-09 11:14:00.140 [main] INFO  c.e.s.h.HistoryContestApplicationTests - Starting HistoryContestApplicationTests on DESKTOP-MAUCIOE with PID 16908 (started by SeaWave in E:\Java\IdeaProjects\history-contest)
2020-09-09 11:14:00.142 [main] INFO  c.e.s.h.HistoryContestApplicationTests - The following profiles are active: dev
2020-09-09 11:14:05.474 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-09-09 11:14:05.704 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3cc9632d, org.springframework.security.web.context.SecurityContextPersistenceFilter@329dc214, org.springframework.security.web.header.HeaderWriterFilter@474749b8, org.springframework.web.filter.CorsFilter@53982523, org.springframework.security.web.authentication.logout.LogoutFilter@49580ca8, cn.edu.seu.historycontest.security.JwtAuthenticationFilter@489110c2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7d2c345d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7aea704c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@700b9e6b, org.springframework.security.web.session.SessionManagementFilter@6f930e0, org.springframework.security.web.access.ExceptionTranslationFilter@2f9b21d6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@72af90e8]
2020-09-09 11:14:05.998 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-09 11:14:06.413 [main] INFO  c.e.s.h.HistoryContestApplicationTests - Started HistoryContestApplicationTests in 6.799 seconds (JVM running for 8.014)
2020-09-09 11:14:06.922 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-09-09 11:14:07.515 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-09-09 11:14:10.690 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-09 11:14:10.692 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-09-09 11:14:10.710 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
